Effect	sum_sq	df	F	p_value	question
C(gender)	48.560000000001224	2.0	7.829407494917453	0.00040469105507251913	q1
C(polarity)	13.12360852110771	2.0	2.115940669594742	0.12067010481803919	q1
C(gender):C(polarity)	37.34086117586197	4.0	3.0102637804464423	0.017171780113621957	q1
Residual	11136.153030303023	3591.0			q1
C(gender)	23.594999999998958	2.0	4.3107404653250745	0.013493138321954753	q2
C(polarity)	60.82011201761024	2.0	11.111664250049921	1.5457402773975574e-05	q2
C(gender):C(polarity)	71.22563584563642	4.0	6.506362165889098	3.255644955622133e-05	q2
Residual	9827.736752136709	3591.0			q2
C(gender)	12.471666666666264	2.0	3.543546222193885	0.0290117576038976	q3
C(polarity)	44.71776741776624	2.0	12.705557327128863	3.1730607475708805e-06	q3
C(gender):C(polarity)	15.46940429940411	4.0	2.1976432913836046	0.06677802262106039	q3
Residual	6319.341161616165	3591.0			q3
C(gender)	36.26888888888936	2.0	14.10181767396844	7.935666942306265e-07	q4
C(polarity)	3.18916472416475	2.0	1.2399888954469798	0.28951130907209904	q4
C(gender):C(polarity)	27.341231546232407	4.0	5.315313951688726	0.0002884370997511274	q4
Residual	4617.900437062946	3591.0			q4
C(gender)	13.223888888889057	2.0	7.298138535664768	0.0006868831993384195	q5
C(polarity)	3.034579772080036	2.0	1.6747557212745665	0.18750024236072732	q5
C(gender):C(polarity)	11.684276094276289	4.0	3.224220437024114	0.01189083749421186	q5
Residual	3253.362810800298	3591.0			q5
C(gender)	5.028888888888899	2.0	0.8333114086037422	0.4346917612480393	q6
C(polarity)	5.86536454286405	2.0	0.9719195029318668	0.3784555903414769	q6
C(gender):C(polarity)	74.6630562030593	4.0	6.186016226437079	5.871658020021792e-05	q6
Residual	10835.529079254067	3591.0			q6
C(gender)	69.4538888888892	2.0	12.80240506300841	2.882136929284431e-06	q7
C(polarity)	18.812373089873336	2.0	3.467676531090921	0.03129389501129498	q7
C(gender):C(polarity)	36.36045325045494	4.0	3.3511532488238602	0.009546795105041994	q7
Residual	9740.70550699296	3591.0			q7
C(gender)	21.623888888889756	2.0	4.00480120898388	0.018309384191139717	q8
C(polarity)	116.68256539756477	2.0	21.60991861235467	4.687701458009327e-10	q8
C(gender):C(polarity)	7.0934835534834555	4.0	0.6568659239988439	0.6220063633901222	q8
Residual	9694.786451048996	3591.0			q8
